#,Title,Authors,Barcode,Call No,ISBN,Status,Patron Status,Hold Status
1,"£êm chong ³èn : truyòên dài","Háô, Tr¼á»ng An",806881,F HOT VIETNAMESE,8781554482924,In,0,No Hold
2,"The 10 best animal disguises","Lindsey, Cameron",33124054033013,591.472 LIN,9781554482924,In,0,No Hold
3,"The 10 best love poems","Hanson, Sharon",33124054032163,820.81 HAN,9781554483433,In,0,No Hold
4,"The 10 best plays","Nyman, Debbie",33124054032262,808.82 NYM,9781554483037,In,0,No Hold
5,"The 10 best underdog stories in sports","Shalton, Michelle",33124054031819,796 SHA,9781554482955,In,0,No Hold
6,"The 10 boldest explorers","Gibson-Hardie, Stephanie Kim",33124054033534,910.92 GIB,9781554482573,In,0,No Hold
7,"The 10 coolest dance crazes","Swartz, Larry",33124054033070,793.3 SWA,9781554483235,In,0,No Hold
8,"The 10 deadliest plants","Littlefield, Angie",33124054032221,581.65 LIT,9781554483112,In,0,No Hold
9,"The 10 deadliest sea creatures","Booth, Jack",33124054033427,591.77 BOO,9781554482825,In,0,No Hold
10,"The 10 deadliest snakes","Jenkins, Jennifer Meghan",33124054033575,597.96 JEN,9781554482726,In,0,No Hold
11,"10 fat turkeys","Johnston, Tony",33124092305530,E JOH,9780439459488,In,0,No Hold
12,"The 10 greatest breakthroughs in space exploration","Clark, Julie",33124054033260,629.41 CLA,9781554483204,In,0,No Hold
13,"The 10 greatest Canadian icons in the arts","Miller, Heather",33124054033237,709.2 MIL,9781554483181,In,0,No Hold
14,"The 10 greatest Canadian innovations of the 20th century","Cutting, Robert",33124054033187,609.71 CUT,9781554482689,In,0,No Hold
15,"The 10 greatest hockey teams of all time","Downey, Glen",33124054040455,796.96264 DOW,9781554483457,In,0,No Hold
16,"The 10 greatest hoop heroes","Hurley, Trish",33124054031918,796.323 HUR,9781554482658,In,0,No Hold
17,"The 10 greatest movies from books","Drake, Carol",33124054031827,791.436 DRA,9781554482634,In,0,No Hold
18,"The 10 greatest sports dynasties","Katz, Ben",33124054032114,796 KAT,9781554483259,In,0,No Hold
19,"The 10 greatest sports showdowns","Downey, Glen",33124054031868,796 DOW,9781554483358,In,0,No Hold
20,"The 10 greatest threats to earth","Reaume, Christopher J",33124054031884,904 REA,9781554483013,In,0,No Hold
21,"The 10 grossest bugs","Littlefield, Angie",33124054033112,595.7 LIT,9781554482627,In,0,No Hold
22,"The 10 mightiest conquerors","Koh, Frederick",33124054033435,909 KOH,9781554483174,In,0,No Hold
23,"The 10 mightiest mountains","Samuel, Nigel",33124054040307,910.02143 SAM,9781554483099,In,0,No Hold
24,"The 10 mightiest rivers","Junyk, Myra",33124059827138,910.91693 JUN,9781554483198,In,0,No Hold
25,"The 10 most amazing animated movies","Quan-D'Eramo, Sandra",33124054032023,791.43 QUA,9781554483136,In,0,No Hold
26,"The 10 most amazing bridges","Harper, Suzanne",33124054033518,725.98 HAR,9781554482603,In,0,No Hold
27,"The 10 most amazing skyscrapers","Scremin, Lauren",33124054033468,720.483 SCR,9781554482801,In,0,No Hold
28,"The 10 most bizarre animal behaviours","Laman, Judi-Lynn",33124054033161,591.5 LAM,9781554483426,In,0,No Hold
29,"The 10 most challenging world war experiences","Dick, Karen",33124054033096,940.5 DIC,9781554482986,In,0,No Hold
30,"The 10 most compelling news images","Koh, Frederick",33124054031876,070.49 KOH,9781554483334,In,0,No Hold
31,"The 10 most dangerous places on earth","Lindsey, Cameron",33124054034169,913.002 LIN,9781554483396,In,0,No Hold
32,"The 10 most daring escapes","Derby, Katy",33124054033385,904 DER,9781554482870,In,0,No Hold
33,"The 10 most destructive ecosystem invaders","Cheung, Lisa",33124054034011,577.82 CHE,9781554482894,In,0,No Hold
34,"The 10 most disastrous accidents","Koh, Frederick",33124054040356,904 KOH,9781554482795,In,0,No Hold
35,"The 10 most essential chemical messengers","Clark, Julie",33124054032379,612.4 CLA,9781554483419,In,0,No Hold
36,"The 10 most extraordinary cities","Koh, Frederick",33124059827088,307.76 KOH,9781554482993,In,0,No Hold
37,"The 10 most extraordinary medical conditions","Winter, Barbara",33124054032171,614.42 WIN,9781554482818,In,0,No Hold
38,"The 10 most extreme fighting styles","Lim, A. Noel",33124054032015,796.8 LIM,9781554482856,In,0,No Hold
39,"The 10 most extreme sports","Mitchell-Hughes, Kimberley",33124054040406,796.046 MIT,9781554483556,In,0,No Hold
40,"The 10 most fascinating phenomena","Buskermolen, Sunniva",33124054032122,031.02 BUS,9781554482719,In,0,No Hold
41,"The 10 most gripping 20th century war stories","Booth, Jack",33124054033484,940.5 BOO,9781554482979,In,0,No Hold
42,"The 10 most incredible landforms","Lambert, Mark John",33124059827039,551 LAM,9781554483297,In,0,No Hold
43,"The 10 most influential hip-hop artists","Cameron, Andrea",33124054034094,781.649 CAM,9781554483044,In,0,No Hold
44,"The 10 most influential speeches in world history","Suchanek, David",33124054033583,909.82 SUC,9781554483372,In,0,No Hold
45,"The 10 most inspiring Canadians","Whitfield, Kathryn L",33124054033047,971.092 WHI,9781554482580,In,0,No Hold
46,"The 10 most outstanding Canadian entrepreneurs","Suchanek, David",33124054033146,338.04 SUC,9781554483488,In,0,No Hold
47,"The 10 most outstanding Canadian symbols","Dick, Karen",33124054033245,929.90971 DIC,9781554483082,In,0,No Hold
48,"The 10 most outstanding female leaders","Nyman, Debbie",33124054033336,920.72 NYM,9781554483273,In,0,No Hold
49,"The 10 most phenomenal athletes","Suchanek, David",33124054031967,796.092 SUC,9781554482757,In,0,No Hold
50,"The 10 most remarkable writers","Arnold, Jayn",33124054031975,823.09 ARN,9781554483532,In,0,No Hold
51,"The 10 most revolting parasites","Clark, Lisa",33124054032270,578.65 CLA,9781554483211,In,0,No Hold
52,"The 10 most revolutionary songs","Cameron, Andrea",33124054032312,782.4 CAM,9781554482931,In,0,No Hold
53,"The 10 most shocking sports scandals","Downey, Glen",33124054032064,175 DOW,9781554483051,Lost/Missing,0,No Hold
54,"The 10 most significant conflicts on Canadian soil","Dick, Karen",33124054033039,971 DIC,9781554483280,In,0,No Hold
55,"The 10 most significant crossroads in aboriginal history","Beaver, Jan",33124054033286,970.4 BEA,9781554483389,In,0,No Hold
56,"The 10 most significant documents in history","Downey, Glen",33124054033021,909 DOW,9781554483471,In,0,No Hold
57,"The 10 most significant medical breakthroughs","Carr, Denis",33124054031983,610.28 CAR,9781554482917,In,0,No Hold
58,"The 10 most terrifying experiences","Lindsey, Cameron",33124054031835,904 LIN,9781554483518,In,0,No Hold
59,"The 10 most uncontrollable functions of the body","Da Silva, Rosa",33124054032320,611 DAS,9781554483310,In,0,No Hold
60,"The 10 most unforgettable NASCAR moments","Downey, Glen",33124054040505,796.72 DOW,9781554483150,In,0,No Hold
61,"The 10 most unforgettable shipwrecks","Griffith, Anita",33124054040257,910.452 GRI,9781554482597,In,0,No Hold
62,"The 10 most wondrous ancient sites","Drake, Carol",33124054033229,930 DRA,9781554482672,In,0,No Hold
63,"10 rivers that shaped the world","Peters, Marilee",33124099805110,551.483 PET,9781554517381,In,0,No Hold
64,"The 10 smartest adaptations in nature","Reaume, Christopher J",33124054032072,591.4 REA,9781554482610,In,0,No Hold
65,"The 10 smartest animals","Downey, Glen",33124054033377,591 DOW,9781554483129,In,0,No Hold
66,"10 ways to stay broke-- forever : why be rich when you can have this much fun?","McDonald, Laura",33124074241968,332.024 MCD,9781118586532,In,0,No Hold
67,"100 accomplished Black Canadian women, 2016","Augustine, Jean",33124104048516,305.48 AUG,9781530089383,In,0,No Hold
68,"100 best Beatles songs : a passionate fan's guide","Spignesi, Stephen J",33124098475022,782.42166 BEA SPI,9781579128425,In,0,No Hold
69,"100 Canadian heroines : famous and forgotten faces","Forster, Merna",33124034373315,920.72 FOR,1550025147,In,0,No Hold
70,"100 cupboards","Wilson, N. D",33124058114132,F WIL,9780605177970,In,0,No Hold
71,"100 events that shook our world : a history in pictures of the last 100 years","Author, Unknown",33124040856964,909 ONE,1932994106,In,0,No Hold
72,"100 great artists : a visual journey from Fra Angelico to Andy Warhol","Gerlings, Charlotte",33124092796217,759 GER,1841934720,In,0,No Hold
73,"100 landmarks of the world : a journey to the most fascinating landmarks around the globe","Jollands, Beverley",33124096017511,910.22 JOL,9781445437781,In,0,No Hold
74,"100 men who shaped world history","Yenne, Bill",1115764,920 .71 YEN,0912517050,In,0,No Hold
75,"100 most dangerous things on the planet","Claybourne, Anna",33124070119887,031.92 CLA,545069270,In,0,No Hold
76,"100 most important science ideas : key concepts in genetics, physics and mathematics","Henderson, Mark",33124054039473,500 HEN,9781554079483,In,0,No Hold
77,"100 people who changed the world","Author, Unknown",33124082002147,920.02 ONE,9781603201223,In,0,No Hold
78,"100 philosophers : a guide to the world's greatest thinkers","King, Peter J",33124092796373,109.2 KIN,785830227,In,0,No Hold
79,"100% pure fake","Thomas, Lyn",33124054038657,793.8 THO,9781554532902,In,0,No Hold
80,"100 sideways miles","Smith, Andrew Anselmo",33124102003091,F SMI,9781442444959,In,0,No Hold
81,"100 women who shaped world history","Rolka, Gail Meyer",1115769,920 .72 ROL,0912517069,In,0,No Hold
82,"The 100-year-old man who climbed out the window and disappeared","Jonasson, Jonas",33124085417748,F JON,9781401324643,In,0,No Hold
83,"The 100-year-old secret","Barrett, Tracy",33124058451518,F BAR,9780312602123,In,0,No Hold
84,"1000's of amazing uses for everyday products","Elliot, Betsy Rossen",33124085417284,640 ELL,1605533408,In,0,No Hold
85,"1001 facts that will scare the s#*t out of you : the ultimate bathroom reader","McNeal, Cary",33124107544040,031.02 MCN,9781605506241,In,0,No Hold
86,"101 great fighters","Author, Unknown",33124070119127,623.7464 ONE,9781435835979,In,0,No Hold
87,"101 things Canadians should know about Canada","Author, Unknown",33124058118927,971 ONE,9781552639955,In,0,No Hold
88,"101 things you didn't know about Jane Austen : the truth about the world's most intriguing romantic heroine","Hannon, Patrice",33124043351237,823 AUS HAN,9781598692846,In,0,No Hold
89,"12 bytes : how we got here, where we might go next","Winterson, Jeanette",33124097615073,303.48 WIN,9780802159250,In,0,No Hold
90,"12 great tips on writing a speech","Shipp, Catherine Elisabeth",33124106114225,808.5 SHI,9781632352774,In,0,No Hold
91,"121 express","Polak, Monique",33124058455337,F POL,9780605188938,In,0,No Hold
92,"13 paintings children should know","Wenzel, Angela",33124058453753,709 WEN,9783791343235,In,0,No Hold
93,"13 ways of looking at a fat girl","Awad, Mona",33124101581451,F AWA,143194798,In,0,No Hold
94,"13 women artists children should know","Schümann, Bettina",33124058453704,709 SCH,9783791343334,In,0,No Hold
95,"14 cows for America","Deedy, Carmen Agra",33124058454728,327.676 NAI DEE,9780605271029,In,0,No Hold
96,"1421 : the year China discovered the world","Menzies, Gavin",33124092797082,910.951 MEN,0553815229,In,0,No Hold
97,"145th Street : short stories","Myers, Walter Dean",33124012917547,F MYE,9780605797222,In,0,No Hold
98,"15 Canadian poets X3","Author, Unknown",33124015749996,819.1 FIF,195416430,In,0,No Hold
99,"15 love","Watson, Andi",33124082007096,F WAT,9780785113348,In,0,No Hold
100,"17th & 18th century art","Ruskin, Ariane",33124012433883,709.032 RUS,70542791,In,0,No Hold
101,"19 varieties of gazelle : poems of the Middle East","Nye, Naomi Shihab",33124038901822,811 NYE,9780605339934,In,0,No Hold
102,"1900-1919","Tames, Richard",33124096018907,909.821 TAM,1932889698,In,0,No Hold
103,"1900-20 : linen & lace","Mee, Sue",2344502,391 .009 MEE,431095485,In,0,No Hold
104,"1900s","Salomons, Elizabeth",2342807,971 .056 SAL,9781896990705,In,0,No Hold
105,"1900s","Salomons, Elizabeth",33124058118265,971.056 SAL,9781896990705,In,0,No Hold
106,"1910s","Craats, Rennay",33124058118257,971.061 CRA,9781770717114,In,0,No Hold
107,"1920s","Baldwin, Douglas",33124058118240,971.0622 BAL,9781770717121,In,0,No Hold
108,"The 1920s","Tames, Richard",33124096019442,909.822 TAM,1932889701,In,0,No Hold
109,"1930s","Baldwin, Douglas",33124058118232,971.0623 BAL,9781770717138,In,0,No Hold
110,"1940s","Craats, Rennay",33124058118224,971.063 CRA,9781770717145,In,0,No Hold
111,"The 1940s","Wood, Tim",33124096019459,909.824 WOO,1932889728,In,0,No Hold
112,"The 1950s","Tames, Richard",33124096019392,909.825 TAM,1932889736,In,0,No Hold
113,"1950s","Hacker, Carlotta",33124058118323,971.0633 HAC,9781770717152,In,0,No Hold
114,"The 1950s","Harrison, Paul",33124070321608,909.825 HAR,9781848372818,In,0,No Hold
115,"1960s","Shipton, Rosemary",33124054037915,971.0643 SHI,9781770717169,In,0,No Hold
116,"The 1960s","Harris, Nathaniel",33124070321566,909.826 HAR,9781848372825,In,0,No Hold
117,"1970s","Craats, Rennay",33124058118307,971.0644 CRA,9781770717176,In,0,No Hold
118,"The 1970s","Harris, Nathaniel",33124070321574,909.827 HAR,9781848372832,In,0,No Hold
119,"1980s","Parker, Janice",33124058118299,971.0646 PAR,9781770717183,In,0,No Hold
120,"The 1980s","Harris, Joseph",33124070321582,909.828 HAR,9781848372849,In,0,No Hold
121,"The 1990s","Rooney, Anne",33124070321475,909.829 ROO,9781848372856,In,0,No Hold
122,"1990s","Seidlitz, Lauri",33124058118281,971.0648 SEI,9781770717190,In,0,No Hold
123,"1991 to the 21st Century","Kerrigan, Michael",33124092800308,909.82 KER,9788860981851,In,0,No Hold
124,"1nf1n1ty","Ward, Rachel",33124101583176,F WAR,9780545350921,In,0,No Hold
125,"2001, a space odyssey","Clarke, Arthur Charles",33124013728232,F CLA,9780451452733,In,0,No Hold
126,"2014 FIFA World Cup Brazil : official book.","Author, Unknown",33124074242008,796.334 TWO,1780975511,In,0,No Hold
127,"2014 FIFA World Cup Brazil : official book.","Author, Unknown",33124074240390,796.334 TWO,1780975511,Lost/Missing,0,No Hold
128,"20th century art.","Gaff, Jackie",33124016044108,709.04 GAF,08368284881,In,0,No Hold
129,"20th century art.","Gaff, Jackie",33124016044058,709.04 GAF,08368284881,In,0,No Hold
130,"20th century art.","Gaff, Jackie",33124016044157,709.04 GAF,08368284881,In,0,No Hold
131,"20th century art.","Gaff, Jackie",33124016044207,709.04 GAF,08368284881,In,0,No Hold
132,"20th century art.","Gaff, Jackie",33124016044595,709.04 GAF,08368284881,In,0,No Hold
133,"20th century art.","Gaff, Jackie",33124016044546,709.04 GAF,08368284881,In,0,No Hold
134,"The 20th century in cartoons : a history in pictures","Author, Unknown",33124096017024,909.82 TWE,9781784044336,In,0,No Hold
135,"20th century pop culture","Epstein, Dan",2351515,973.92 EPS,155110993,In,0,No Hold
136,"21 things you may not know about the Indian Act","Joseph, Robert P. C.",33124118823870,970.5 JOS,9780995266520,In,0,No Hold
137,"24 hours","Mahy, Margaret",33124012917240,F MAH,689839030,In,0,No Hold
138,"24 : midnight sun","Vaughn, J. C",33124059827757,F VAU,1932382992,In,0,No Hold
139,"The 3 little pigs","Author, Unknown",1790110,398.24 THR,0888992998,In,0,No Hold
140,"30-second elements : the 50 most significant elements, each explained in half a minute","Author, Unknown",33124085415585,546 THI,9781552675632,In,0,No Hold
141,"30 second religion : the 50 most thought-provoking religious beliefs, each explained in half a minute","Author, Unknown",33124093793767,200 THI,9781552675878,In,0,No Hold
142,"300","Miller, Frank",33124070323364,F MIL,1560714029,In,0,No Hold
143,"36 questions that changed my mind about you","Grant, Vicki",33124112462238,F GRA,9780762463183,In,0,No Hold
144,"40 days in Hicksville","Kilbourne, Christina",33124127650504,F KIL,9781770867154,Out,0,No Hold
145,"The 40s & 50s : utility to new look","Reynolds, Helen",2344512,391 .009 REY,431095507,In,0,No Hold
146,"419 : a novel","Ferguson, Will",33124085413473,F FER,9780670064717,In,0,No Hold
147,"47 Ronin","Richardson, Mike",33124097596950,F RIC,1595829547,In,0,No Hold
148,"5 giraffes","Dagg, Anne Innis",33124107615808,599.638 DAG,9781554553563,In,0,No Hold
149,"50 artists you should know : from Giotto to Warhol","Koster, Thomas",33124058454702,709.22 KOS,9783791337166,In,0,No Hold
150,"50 below zero","Munsch, Robert N.",602409,E MUN,9780800008482,In,0,No Hold
151,"50 body questions : a book that spills its guts","Kyi, Tanya Lloyd",33124094556577,612 KYI,1554516137,In,0,No Hold
152,"50 Cent.","Author, Unknown",33124092800688,781.649 FIF FIF,1622500083,In,0,No Hold
153,"50 ideas you really need to know universe","Baker, Joanne",33124093793197,520 BAK,9781848660663,In,0,No Hold
154,"50 of the most inspiring African-Americans","Author, Unknown",33124028659190,973.0496 FIF,1931933200,In,0,No Hold
155,"50 underwear questions : a bare-all history","Kyi, Tanya Lloyd",33124083408285,391.42 KYI,9781554513529,In,0,No Hold
156,"500 things to know about the ancient world","Howitt, Carolyn",33124054039754,930 HOW,9780764138638,In,0,No Hold
157,"The 500 years of Indigenous resistance comic book","Hill, Gord",33124123666504,970.00497 HIL,9781551528526,In,0,No Hold
158,"The 500 years of resistance comic book","Hill, Gord",33124102654711,970.4 HIL,9781551523606,In,0,No Hold
159,"The 500 years of resistance comic book","Hill, Gord",33124118825891,970.4 HIL,9781551523606,In,0,No Hold
160,"501 must-visit natural wonders","Author, Unknown",33124092796274,551.41 FIV,9780753715918,In,0,No Hold
161,"52 days by camel : my Sahara adventure","Raskin, Lawrie",33124013726392,966 RAS,1550375199,In,0,No Hold
162,"The 6 most important decisions you'll ever make : a guide for teens","Covey, Sean",33124049729832,158.0835 COV,9780605117068,In,0,No Hold
163,"The 60s : [a photo journey through the swinging sixties]","Lescott, James",33124085417169,909.826 LES,9781407584027,In,0,No Hold
164,"The 60s : mods & hippies","Powe-Temperley, Kitty",2344517,391 .009 POW,431095515,In,0,No Hold
165,"The 7 habits of highly effective teens. personal workbook /","Covey, Sean",33124097605280,158.0835 COV,743250982,In,0,No Hold
166,"The 7 habits of highly effective teens : the ultimate teenage success guide","Covey, Sean",1870683,158 .10835 COV,743258150,In,0,No Hold
167,"The 7 habits of highly effective teens : with companion workbook/","Covey, Sean",33124118823201,155.519 COV,9781476761923,In,0,No Hold
168,"The 70s : punks, glam rockers, & new romantics","Gilmour, Sarah",2344522,391 .009 GIL,431095523,In,0,No Hold
169,"750 French verbs and their uses","Mathy, Jean-Philippe",1084125,448 .2 MAT,471545899,In,0,No Hold
170,"The 80's and 90's : power dressing to sportsware.","Lomas, Clare",2344527,391 .009 LOM,0431095531,In,0,No Hold
171,"The 8th habit : from effectiveness to greatness","Covey, Stephen R",33124038902069,158.1 COV,9780743287937,In,0,No Hold
172,"9-11: a tribute","Author, Unknown",33124058119933,303.625 NIN,9781844061846,In,0,No Hold
173,"The 9/11 report : a graphic adaptation","Jacobson, Sid",33124082000349,973.931 JAC,9780605103290,In,0,No Hold
174,"The 9/11 report : a graphic adaptation","Jacobson, Sid",33124043350411,973.931 JAC,9780605103290,In,0,No Hold
175,"The A.B.C. murders : a Hercule Poirot novel","Christie, Agatha",33124058115188,F CHR,1579126243,In,0,No Hold
176,"A is for Algonquin : an Ontario alphabet","Gorman, Lovenia",33124046426168,971.3 GOR,9781487203269,In,0,No Hold
177,"A-okay","Greene, Jarad",33124127891538,F GRE,9780063032859,Out,0,No Hold
178,"A.Y. Jackson : a love for the land","Larsen, Wayne",33124058116780,BIO 759.11 JAC LAR,1894852060,In,0,No Hold
179,"The A-Z of art : the world's greatest artists and their works","Hodge, Nicola",33124020340666,709.22 HOD,1844426009,In,0,No Hold
180,"Aaron's hair","Munsch, Robert N.",33124097615305,E MUN,9780439956109,In,0,No Hold
181,"ABC of Canada","Bellefontaine, Kim Anne",33124085414166,E GUR,1553376854,In,0,No Hold
182,"The abduction","Korman, Gordon",33124058119107,F KOR,9780605073807,In,0,No Hold
183,"Abnormal psychology","Author, Unknown",33124070119259,616.89 ABN,9781936333202,In,0,No Hold
184,"Abolition is love","Ware, Syrus Marcus",33124127354032,365.7 WAR,9781644212554,In,0,No Hold
185,"Aboriginal art & culture","Bingham, Jane",33124049730327,700.899915 BIN,1410911063,In,0,No Hold
186,"Aboriginal beliefs, values, and aspirations","Author, Unknown",33124092799419,970.4 ABO,9780135106518,In,0,No Hold
187,"Aboriginal peoples in Canada","Reed, Kevin",33124083452762,970.4 REE,9780135106495,In,0,No Hold
188,"Aboriginal treaties","Gray, Carolyn",33124083412675,970.5 GRA,9781553886976,In,0,No Hold
189,"About a boy","Hornby, Nick",33124013729701,F HOR,1573229571,In,0,No Hold
190,"About face : women write about what they see when they look in the mirror","Author, Unknown",33124049736886,306.4613 ABO,9781580052467,In,0,No Hold
191,"Above the dreamless dead : World War I in poetry and comics","Author, Unknown",33124097596141,940.3 ABO,9781626720657,In,0,No Hold
192,"Above the noise : my story of chasing calm","DeRozan, DeMar",33124129175567,796.323 DER ZAR,9781443469883,In,0,No Hold
193,"Abracadeath","Lobdell, Scott",33124046425764,F LOB,9781597070812,In,0,No Hold
194,"Abracadeath","Lobdell, Scott",33124070320519,F LOB,9781597070812,In,0,No Hold
195,"Abraham Lincoln : the great emancipator","Press, David Paul",33124093789294,973.7092 LIN PRE,9780778710615,In,0,No Hold
196,"Absolute pressure","Brouwer, Sigmund",33124102654919,F BRO,9780605252011,In,0,No Hold
197,"Absolutely best cross-sections book ever","Biesty, Stephen",33124046422407,600 BIE,751371033,In,0,No Hold
198,"Absolutely Maybe","Yee, Lisa",33124058452045,F YEE,9780605416086,In,0,No Hold
199,"Absolutely, positively not","LaRochelle, David",33124040854993,F LAR,9780605060104,In,0,No Hold
200,"The absolutely true diary of a part-time Indian","Alexie, Sherman",33124102654703,F ALE,9780605254466,In,0,No Hold
201,"The absolutely true diary of a part-time Indian","Alexie, Sherman",33124109647239,F ALE,9780605254466,In,0,No Hold
202,"Abuelita and me","Carranza, Leonarda",33124123303199,E CAR,9781773216102,In,0,No Hold
203,"An abundance of Katherines","Green, John",33124082000331,F GRE,9780605183100,In,0,No Hold
204,"An abundance of Katherines","Green, John",33124054846497,F GRE,9780605183100,Lost/Missing,0,No Hold
205,"The abuse of power in George Orwell's Nineteen eighty-four","Author, Unknown",33124070119440,823 ORW ABU,9780737748055,In,0,No Hold
206,"AC Milan","Whiting, Jim",33124106058307,796.334 WHI,9781608187997,In,0,No Hold
207,"Acadians","Author, Unknown",33124098474405,971.601 ACA,1553882369,In,0,No Hold
208,"Accept and value each person","Meiners, Cheri J.",33124046426192,179.9 MEI,9781575422039,In,0,No Hold
209,"Accessories","Harris, Carol",33124040853631,391.44 HAR,159084419,In,0,No Hold
210,"The accident season","Fowley-Doyle, Moi?ra",33124102654679,F FOW,9780525429487,In,0,No Hold
211,"The accidental highwayman : being the tale of Kit Bristol, his horse Midnight, a mysterious princess, and sundry magical persons besides","Tripp, Ben",33124102656179,F TRI,9780765335494,In,0,No Hold
212,"Accidentally famous","Papademetriou, Lisa",33124054040240,F PAP,9780545055819,In,0,No Hold
213,"Ace of hearts","Augustine, Myriad",33124097615123,F AUG,9781459415003,In,0,No Hold
214,"Ace your animal science project : great science fair ideas","Author, Unknown",33124082002303,590.78 ACE,9780766032200,In,0,No Hold
215,"Ace your plant science project : great science fair ideas","Gardner, Robert",33124082002378,580.78 GAR,9780766032217,In,0,No Hold
216,"Ace's basement","Staunton, Ted",33124102655411,F STA,9781459804371,In,0,No Hold
217,"Acne and skin disorders","Parks, Peggy J.",33124074240184,616.5 PAR,9781601522269,In,0,No Hold
218,"Act like you got some sense : and other things my daughters taught me","Foxx, Jamie",33124118822930,791.43028 FOX,9781538703281,In,0,No Hold
219,"Acting scenes and monologs for young women","Levy, Maya",1870629,792.028 LEV,1566080495,In,0,No Hold
220,"Action!","Keene, Carolyn",33124070116776,F KEE,9780605063983,In,0,No Hold
221,"L'Actualité en revue 2016 03","Author, Unknown",33124100527059,070.195 2016 03 ACT,9780605063986,In,0,No Hold
222,"Adam Canfield of the Slash","Winerip, Michael",33124046431168,F CAN,9780605050822,In,0,No Hold
223,"Addiction treatment : escaping the trap","Walker, Ida",33124074238667,616.86 WAL,9781422224434,In,0,No Hold
224,"Addictive personality","Juzwiak, Richard",33124070322069,616.85 JUZ,9781404218024,In,0,No Hold
225,"Adele : a celebration of an icon and her music","James, Sarah-Louise",33124074240549,781.64 ADE JAM,9781454905721,In,0,No Hold
226,"Adolf Hitler","Tames, Richard",2274769,BIO 943 .086 092 HIT CON,1575726890,In,0,No Hold
227,"Adrenalin high","Forsyth, Christine A.",33124020338314,F FOR,1550287923,In,0,No Hold
228,"Adrenalin high","Forsyth, Christine A.",33124028663184,F FOR,1550287923,In,0,No Hold
229,"Adrenalin high","Forsyth, Christine A.",33124059825777,F FOR,1550287923,In,0,No Hold
230,"Adventure time. 1 /","North, Ryan",33124102655304,F NOR,16088628011,In,0,No Hold
231,"Adventure time. 4 /","North, Ryan",33124096019277,F NOR,9781608863518,Lost/Missing,0,No Hold
232,"Adventure time. 5 /","North, Ryan",33124102026282,F NOR,9781608864010,In,0,No Hold
233,"Adventure time. 5 /","North, Ryan",33124102655551,F NOR,9781608864010,In,0,No Hold
234,"Adventure time comics. 2 /","Author, Unknown",33124106913493,F ADV,9781608869848,Out,0,No Hold
235,"Adventure time comics. 3 /","Author, Unknown",33124106913485,F ADV,1684150418,In,0,No Hold
236,"Adventure time. Mathematical edition /","North, Ryan",33124102026191,741.5971 NOR,97816088632421,Lost/Missing,0,No Hold
237,"Adventure time with Fionna & Cake","Allegri, Natasha",33124102656062,F ALL,1608863387,In,0,No Hold
238,"Adventure travel","Bardswich, Miriam",33124042570621,910.4 BAR,1897096348,In,0,No Hold
239,"Adventurers : Hudson's Bay Company-- the epic story","Moore, Christopher",33124083409929,971.201 MOO,1895892139,In,0,No Hold
240,"Adventures in ancient China","Bailey, Linda",23124003307221,931.04 BAI,1553374533,In,0,No Hold
241,"Adventures in cartooning : [how to turn your doodles into comics]","Sturm, James",33124058455386,F STR,9780605246942,In,0,No Hold
242,"Adventures in the Middle Ages","Bailey, Linda",1870561,940.1 BAI,1550745409,In,0,No Hold
243,"Adventures of a Black girl in Search of God","Sears, Djanet",33124097604903,819.2 SEA,887547125,In,0,No Hold
244,"The adventures of Augie March","Bellow, Saul",33124070118038,F BEL,380009617,In,0,No Hold
245,"The adventures of Captain Underpants : an epic novel","Pilkey, Dav",33124038889118,F PIL,590846289,In,0,No Hold
246,"The adventures of Captain Underpants : an epic novel","Pilkey, Dav",33124110969663,F PIL,590846289,Lost/Missing,0,No Hold
247,"The adventures of Hawk Mason","Cutting, Robert",33124083409713,F CUT,9781554773824,In,0,No Hold
248,"The adventures of Huckleberry Finn","Swan, D. K",1788689,F TWA,0582035856,In,0,No Hold
249,"The adventures of Huckleberry Finn","Swan, D. K",1788684,F TWA,0582035856,In,0,No Hold
250,"The adventures of Huckleberry Finn","Votaw, John",33124023741738,F TWA,0582420504,In,0,No Hold
251,"The adventures of John Blake : mystery of the ghost ship","Pullman, Philip",33124106913576,F PUL,9781338149128,In,0,No Hold
252,"The adventures of Nanny Piggins","Spratt, R. A",33124109707488,F SPR,9780316068192,In,0,No Hold
253,"Adventures of Rabbit and Bear Paws. 1, The sugar bush /","Solomon, Chad",33124046430558,F SOL,9780973990508,In,0,No Hold
254,"Adventures of Rabbit and Bear Paws. 2, The voyageurs /","Solomon, Chad",33124057941832,F SOL,9780973990669,In,0,No Hold
255,"Adventures of Sindbad the sailor","Swan, D. K",1788780,398.2 SWA,0582541484,In,0,No Hold
256,"The adventures of Super Diaper Baby : the first graphic novel","Pilkey, Dav",33124090481010,F PIL,9780605371033,In,0,No Hold
257,"The adventures of Superhero Girl","Hicks, Faith Erin",33124097596612,F HIC,9781616550844,Lost/Missing,0,No Hold
258,"The adventures of Tintin. Tintin's daring escape /","Mayer, Kirsten",33124090480319,E MAY,9780857510785,In,0,No Hold
259,"The adventures of Tom Sawyer","Twain, Mark",33124090477885,F TWA,582035880,In,0,No Hold
